dyadid,location,sideb,gtd_gname,gname_match,coder,type,sidea,gwnoa,startyear,startyear2,finalyear,source,notes,crosswalk,notmissing,conflictid,sideb_gtd_additional,notes_sideb_gtd_id,mar_notes,vpfcomments913,rfm_notes,actorissue
1,Algeria,AIS,Abu Nidal Organization (ANO),11,Fortna,3,Government of Algeria,615,1985,1992,1997,TOPS,,0,NA,,,,,,,
1,Algeria,AIS,Al-Adl Wal Ihsane,11,Fortna,3,Government of Algeria,615,1985,1992,1997,other,Wikipedia -- Moroccon group,0,NA,,,,,,,
1,Algeria,AIS,Algerian Moujahideen for Moslems,-99,Fortna,3,Government of Algeria,615,1985,1992,1997,,generic term or specific group?,0,NA,,,,,,,
1,Algeria,AIS,Amal,-99,Fortna,3,Government of Algeria,615,1985,1992,1997,,,0,NA,,,,,,,
1,Algeria,AIS,Armed Islamic Group (GIA),10,Fortna,3,Government of Algeria,615,1985,1992,1997,,dyad 3,0,NA,,,,,,,
1,Algeria,AIS,Armed Islamic Movement,4,Fortna,3,Government of Algeria,615,1985,1992,1997,"d2013, CGS, p.636","FIS is political wing, AIM (aka MIA) & AIS are the armed wings; FIS & MIA merge in 1993 (CGS, p.637-8); ;  AIS largely made up of fighters from MIA (UCDP ""background""). But deRouen & Heo eds 2007, pp.107-8 give more detail:  MIA created first, supports larger FIS political movement; AIS established in 1994, clearly separate from, but part of same movement as MIA.",0,NA,,,,,,,
1,Algeria,AIS,Armed People,13,Fortna,3,Government of Algeria,615,1985,1992,1997,,so generic as to be unknown,0,NA,,,,,,,
1,Algeria,AIS,Committee of Coordination,-99,Fortna,3,Government of Algeria,615,1985,1992,1997,,,0,NA,,,,,,,
1,Algeria,AIS,Islam Liberation Front,-99,Fortna,3,Government of Algeria,615,1985,1992,1997,,,0,NA,,,,,,,
1,Algeria,AIS,Islamic Golden Army,-99,Fortna,3,Government of Algeria,615,1985,1992,1997,,,0,NA,,,,,,,
1,Algeria,AIS,Islamic Salvation Front (FIS),1,Fortna,3,Government of Algeria,615,1985,1992,1997,"CGS, p.636, UCDP","FIS is political wing, AIM (aka MIA) & AIS are the armed wings (CGS); AIS largely made up of fighters from MIA (UCDP ""background"")",0,NA,,,,,,,
1,Algeria,AIS,Islamist Extremists,5,Fortna,3,Government of Algeria,615,1985,1992,1997,,,0,NA,,,,,,,
1,Algeria,AIS,Jihad Islamic League Front,-99,Fortna,3,Government of Algeria,615,1985,1992,1997,,,0,NA,,,,,,,
1,Algeria,AIS,Kach,11,Fortna,3,Government of Algeria,615,1985,1992,1997,other,wikipedia -- far-right Israeli party,0,NA,,,,,,,
1,Algeria,AIS,Kamal Boulander Group,-99,Fortna,3,Government of Algeria,615,1985,1992,1997,,,0,NA,,,,,,,
1,Algeria,AIS,Moslem Activists,5,Fortna,3,Government of Algeria,615,1985,1992,1997,,,0,NA,,,,,,,
