"","sidebid","year","f_a","f_b","f_c","f_d","f_e","f_f","fm_a","fm_b","fm_c","fm_d","fm_e","fm_f","m_a","m_b","m_c","m_d","m_e","m_f","mm_a","mm_b","mm_c","mm_d","mm_e","mm_f","t_a","t_b","t_c","t_d","t_e","t_f","tm_a","tm_b","tm_c","tm_d","tm_e","tm_f"
"1",1005,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"2",1005,1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"3",1005,1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2
"4",1005,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
"5",1005,1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2
"6",1005,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",1005,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"8",1005,1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"9",1005,1978,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3
"10",1005,1979,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,1,9
"11",1005,1980,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,0,0,0,0,0,22
"12",1005,1981,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,0,0,0,0,1,24
"13",1005,1982,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0,6
"14",1005,1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"15",1005,1984,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,2
"16",1005,1985,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1
"17",1005,1986,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3
"18",1005,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",1005,1988,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,4
"20",1005,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,0,0,0,0,0,1
"21",1005,1990,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2
"22",1005,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"23",1005,1992,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
"24",1005,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",1005,1994,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2
"26",1005,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2
"27",1005,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"28",1005,1997,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"29",1005,1998,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"30",1005,1999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"31",1005,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
"32",1005,2001,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
"33",1010,1970,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2
"34",1010,1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
"35",1010,1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
"36",1010,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",1010,1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",1010,1975,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"39",1010,1976,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,3,1,1,1,1,1,2
"40",1010,1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41",1010,1978,1,1,1,1,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,0,0,0,0,0,2
"42",1010,1979,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,6,1,1,1,1,1,2
"43",1010,1980,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,5
"44",1010,1981,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,6,6,6,6,7,9,4,4,4,4,4,5
"45",1010,1982,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,3,3,3,3,3,6,0,0,0,0,0,3
"46",1010,1983,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"47",1010,1984,4,4,4,4,8,8,0,0,0,0,0,0,3,3,3,3,7,7,0,0,0,0,0,0,4,4,4,4,8,9,0,0,0,0,0,1
"48",1010,1985,10,10,10,10,11,11,2,2,2,2,3,5,7,7,7,7,8,8,2,2,2,2,3,5,41,41,41,41,55,62,2,2,2,2,3,5
"49",1010,1986,0,0,0,0,2,2,4,4,4,4,4,4,0,0,0,0,0,0,2,2,2,2,2,2,15,15,15,15,19,25,7,7,7,7,8,11
"50",1010,1987,7,7,7,7,8,9,6,6,6,6,6,7,4,4,4,4,5,5,3,3,3,3,3,3,27,27,27,27,28,43,16,16,16,16,16,22
"51",1010,1988,11,11,11,11,11,11,7,7,7,7,7,7,8,8,8,8,8,8,7,7,7,7,7,7,24,24,24,24,24,27,13,13,13,13,13,14
"52",1010,1989,12,12,12,12,12,16,7,7,7,7,7,11,9,9,9,9,9,10,5,5,5,5,5,6,18,18,18,18,18,30,7,7,7,7,7,16
"53",1010,1990,7,7,7,7,7,7,5,5,5,5,5,8,0,0,0,0,0,0,0,0,0,0,0,0,47,47,47,47,47,129,26,26,26,26,26,68
"54",1010,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,19,19,19,48,5,5,5,5,5,13
"55",1010,1992,4,4,4,4,4,11,3,3,3,3,3,9,1,1,1,1,1,2,1,1,1,1,1,2,12,12,12,12,12,43,5,5,5,5,5,23
"56",1010,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",1010,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,33,0,0,0,0,0,10
"58",1010,1995,0,2,2,2,2,7,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,5,5,5,5,17,1,1,1,1,1,4
"59",1010,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,6
"60",1010,1997,0,0,0,0,0,10,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,26,0,0,0,0,0,13
"61",1010,1998,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,8,0,0,0,0,0,7
"62",1010,1999,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,4,0,0,0,0,0,3
"63",1010,2000,2,2,2,2,2,6,2,2,2,2,2,6,1,1,1,1,1,2,1,1,1,1,1,2,5,5,5,5,5,17,3,3,3,3,3,11
"64",1010,2001,1,1,1,1,1,2,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,11,3,3,3,3,3,8
"65",1010,2002,1,1,1,1,1,2,1,1,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,8,1,1,1,1,1,8
"66",1010,2003,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,14,1,1,1,1,1,10
"67",1010,2004,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,5,12,0,0,0,0,1,5
"68",1010,2005,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,4,0,0,0,0,0,3
"69",1010,2006,3,3,3,3,3,7,2,2,2,2,2,5,1,1,1,1,1,3,0,0,0,0,0,1,7,7,7,7,7,18,2,2,2,2,2,10
"70",1010,2007,1,1,1,1,1,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,3,22,0,0,0,0,0,11
"71",1010,2008,10,10,10,10,10,10,8,8,8,8,8,19,2,2,2,2,2,2,2,2,2,2,2,3,42,42,42,42,42,105,10,10,10,10,10,42
"72",1010,2009,8,8,8,8,8,28,3,3,3,3,3,14,2,2,2,2,2,2,0,0,0,0,0,0,27,27,27,27,27,83,5,5,5,5,5,37
"73",1010,2010,11,11,11,11,11,39,5,5,5,5,5,22,0,0,0,0,0,1,0,0,0,0,0,0,24,24,24,24,24,77,10,10,10,10,10,40
"74",1010,2011,8,8,8,8,8,29,4,4,4,4,4,20,0,0,0,0,0,4,0,0,0,0,0,4,14,14,14,14,14,60,4,4,4,4,4,35
"75",1010,2012,2,2,2,2,2,13,1,1,1,1,1,8,0,0,0,0,0,2,0,0,0,0,0,2,8,8,8,8,8,47,1,1,1,1,1,26
